Trip ID,Taxi ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Pickup Community Area,Dropoff Community Area,Fare,Tips,Tolls,Extras,Trip Total,Payment Type,Company,Pickup Centroid Latitude,Pickup Centroid Longitude,Pickup Centroid Location,Dropoff Centroid Latitude,Dropoff Centroid Longitude,Dropoff Centroid  Location
7ce98ec3d6d2b81bf6a91a5333e84690ec4e94f3,30ac065db3b331d97b0842f0cb1740ed5b8d7fe2653044172f29108b097b96c94495241f323ccf9b48b321d9199b5381526efd246e09acb00e5d96c93d991675,01/01/2017 12:00:00 AM,01/01/2017 12:00:00 AM,480,1.5,,17031080202,,8,7.50,0.00,0.00,1.50,9.00,Cash,Dispatch Taxi Affiliation,,,,41.905857769,-87.630865027,POINT (-87.6308650266 41.9058577688)
e447e5c2e41c4f6751907d5e686f35b34e315afb,4e902eb187e3942c1da821c8aa349fc848c6ff3f71f1070d2e5f1dd3d95e06540fb92fb47a9075d3af689fec539a9701502d2c4e3656b41b2ae656461c28243b,01/01/2017 12:00:00 AM,01/01/2017 12:00:00 AM,0,0,,,,,27.00,0.00,0.00,0.00,27.00,Credit Card,Suburban Dispatch LLC,,,,,,
95e39db90a6a468a863f43c8eccce7e26ba3db39,78a7a28fe001257044d5095fcb1ff7156a47411ff93cc5ea289fbb93cce4c7e0906431b65275bfc8211a8499f28ec8cb88ad009093e6f7317e11662ba1521b7a,01/01/2017 12:00:00 AM,01/01/2017 12:45:00 AM,2280,0.2,,,,76,22.25,0.00,0.00,0.00,22.25,Cash,Dispatch Taxi Affiliation,,,,41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146)
b09914181a9bd6a5dcd2e44941d215bc663763df,c157870bbd395a664de1f3e6f7868b3b89472295c4e2d6ef90c81e6bea2762da796d6a669f8f919194bce1488f550be449c2cede492eb4a1e3e0134bbda181ab,01/01/2017 12:00:00 AM,01/01/2017 12:00:00 AM,480,1.7,,,,,7.50,0.00,0.00,0.00,7.50,Cash,4787 - 56058 Reny Cab Co,,,,,,
d039b0e5600d5008f95bd55114fe8acdeba81d99,b5c4dfe366c83cef5604db1afcfbc15c8c38eeefd896b983d753e1f34c5ee9b457726f981f51742c163d2d83fb38f8a42ab0f96e635fad96ee2ec0e12d138fd8,01/01/2017 12:00:00 AM,01/01/2017 12:00:00 AM,540,0,,,,,6.75,0.00,0.00,1.00,7.75,Cash,Blue Ribbon Taxi Association Inc.,,,,,,
94291f34710a6ee268b32bd3da208f6cbb65a0de,ff6aa87ad2487541184808bdb9202867f5ec8ff5db6adf5a7565fd05769420e9226eba52b821be6d5eb1a6221bf441051e848cb9bf45e3d9d7afd69a12eb072b,01/01/2017 12:00:00 AM,01/01/2017 12:00:00 AM,0,0,,,,,6.25,0.00,0.00,0.00,6.25,Credit Card,Suburban Dispatch LLC,,,,,,
f00546971a3e4c8ab55761a337443a0dfa33f42f,631de3a4ad35b7d7d75949b33ad59e09820b51b3f58225df9f3f1c9aa65554e97ba9d6f868c94b5c2f170cf086a0ca7089dc2f6dab2c9096283f482659071447,01/01/2017 12:00:00 AM,01/01/2017 12:30:00 AM,1800,0,17031081800,17031081500,8,8,13.25,4.25,0.00,1.00,18.50,Credit Card,Taxi Affiliation Services,41.89321636,-87.63784421,POINT (-87.6378442095 41.8932163595),41.892507781,-87.626214906,POINT (-87.6262149064 41.8925077809)
fe9bfc25af9dffac30370f4e7d57a8c8a8bdbc0d,b7da4d1247a408c100b4964f236760694290aace75c8b87ca5aafd36e44b2726b95bb9b5d7dac8dad5e195d7950cad934739c6422b9826fdf6c89e653c903e19,01/01/2017 12:00:00 AM,01/01/2017 12:00:00 AM,660,2.7,,,2,3,10.00,2.00,0.00,0.00,12.00,Credit Card,Choice Taxi Association,42.001571027,-87.695012589,POINT (-87.6950125892 42.001571027),41.96581197,-87.655878786,POINT (-87.6558787862 41.96581197)
42b662e1238bb7dceccca2b19d395df44dc12dd5,5985b42dd0cbd4492cd51df71c1fd5dbed60edb96d589b7523ef35dc77c6c71f44a49c6f496ac294a51ca6584790e4ee608578553b82960ccb6de65f7bbb2bd6,01/01/2017 12:00:00 AM,01/01/2017 12:00:00 AM,0,0,,,,,7.50,3.00,0.00,0.00,10.50,Credit Card,Suburban Dispatch LLC,,,,,,
89b4ff599f5d23fa177b8bd915b7aa3c2e0608b3,29051a8f04056bb47ab86564c9fec32eb9e15e8ce6aed246c4a2880d8d0d1092c73683a69b9566af30877f77d0e37851a871102d6d77af8a6ab1e57edafc195b,01/01/2017 12:00:00 AM,01/01/2017 12:00:00 AM,0,0,,,,,21.75,3.25,0.00,0.00,25.00,Credit Card,T.A.S. - Payment Only,,,,,,
54d7aa6ab399127eae39b95f820a7f7966687087,97a398bfabaedff3382ec14a54a935a8f28355fac7788803de35e68d7556b4548edf9ba0a54350e5ea41ca124646d186345c35cd2772a9246a407618eb1d0813,01/01/2017 12:00:00 AM,01/01/2017 12:00:00 AM,0,0,,,,,13.50,2.03,0.00,0.00,15.53,Credit Card,Suburban Dispatch LLC,,,,,,
